phy_lbr,tot_emp,women,white,black,asian,hispanic
Total_16_years_and_over,155761,46.9,78.0,12.3,6.3,17.3
Agriculture_forestry_fishing_and_hunting,2425,25.9,92.8,2.6,1.6,26.0
Crop_production,1230,26.7,92.9,2.1,2.0,31.8
Animal_production_and_aquaculture,810,26.5,93.6,2.3,1.0,19.9
Forestry_except_logging,43,0,0,0,0,0
Logging,112,5.9,89.9,7.6,0.0,3.8
Fishing_hunting_and_trapping,54,12.8,83.7,1.9,7.8,8.8
Support_activities_for_agriculture_and_forestry,176,33.7,94.2,3.7,1.2,35.3
Mining_quarrying_and_oil_and_gas_extraction,784,13.8,87.3,6.4,2.8,20.7
Oil_and_gas_extraction,78,19.1,85.5,5.4,8.1,17.7
Coal_mining,64,6.2,88.4,3.2,0.4,5.7
Metal_ore_mining,30,0,0,0,0,0
Nonmetallic_mineral_mining_and_quarrying,101,12.4,91.4,7.6,0.1,10.8
Not_specified_type_of_mining,6,0,0,0,0,0
Support_activities_for_mining,504,14.8,86.2,7.2,3.0,24.8
Construction,11181,9.9,88.4,6.2,2.0,30.7
Manufacturing,15560,29.2,79.5,10.4,6.9,16.7
Durable_goods_manufacturing,9831,25.1,80.3,9.3,7.5,14.3
Nonmetallic_mineral_products_manufacturing,475,19.6,85.7,8.1,3.5,21.9
Pottery_ceramics_and_plumbing_fixture_manufacturing,22,0,0,0,0,0
Clay_building_material_and_refractories_manufacturing,26,0,0,0,0,0
Glass_and_glass_product_manufacturing,148,23.8,78.7,13.5,6.9,18.3
Cement_concrete_lime_and_gypsum_product_manufacturing,181,11.5,91.0,5.4,0.5,24.0
Miscellaneous_nonmetallic_mineral_product_manufacturing,99,19.5,87.0,5.2,4.1,24.6
Primary_metals_and_fabricated_metal_products_manufacturing,1680,17.2,85.7,7.9,3.2,15.5
Iron_and_steel_mills_and_steel_product_manufacturing,268,11.8,83.7,10.8,2.0,12.2
Aluminum_production_and_processing,59,29.3,83.3,13.1,1.4,14.8
Nonferrous_metal_except_aluminum_production_and_processing,48,0,0,0,0,0
Foundries,81,18.2,86.5,5.8,4.4,13.4
Metal_forgings_and_stampings,60,18.1,83.8,12.7,1.3,13.7
Cutlery_and_hand_tool_manufacturing,41,0,0,0,0,0
Structural_metals_and_boiler_tank_and_shipping_container_manufacturing,358,14.6,85.2,8.7,2.4,16.6
Machine_shops;_turned_product;_screw_nut_and_bolt_manufacturing,295,13.5,91.6,1.2,5.3,16.1
Coating_engraving_heat_treating_and_allied_activities,67,24.9,80.9,12.1,6.3,20.3
Ordnance,45,0,0,0,0,0
