
Totalemployed, Percent of total employed, Women, White, Black orAfricanAmerican, Asian, Hispanicor Latino
Total: 16 years and over, 155761, 46.9, 78.0, 12.3, 6.3, 17.3
Agriculture: forestry: fishing: and hunting, 2425, 25.9, 92.8, 2.6, 1.6, 26.0
Crop production, 1230, 26.7, 92.9, 2.1, 2.0, 31.8
Animal production and aquaculture, 810, 26.5, 93.6, 2.3, 1.0, 19.9
Forestry: except logging, 43, -, -, -, -, -
Logging, 112, 5.9, 89.9, 7.6, 0.0, 3.8
Fishing: hunting: and trapping, 54, 12.8, 83.7, 1.9, 7.8, 8.8
Support activities for agriculture and forestry, 176, 33.7, 94.2, 3.7, 1.2, 35.3
Mining: quarrying: and oil and gas extraction, 784, 13.8, 87.3, 6.4, 2.8, 20.7
Oil and gas extraction, 78, 19.1, 85.5, 5.4, 8.1, 17.7
Coal mining, 64, 6.2, 88.4, 3.2, 0.4, 5.7
Metal ore mining, 30, -, -, -, -, -
Nonmetallic mineral mining and quarrying, 101, 12.4, 91.4, 7.6, 0.1, 10.8
Not specified type of mining, 6, -, -, -, -, -
Support activities for mining, 504, 14.8, 86.2, 7.2, 3.0, 24.8
Construction, 11181, 9.9, 88.4, 6.2, 2.0, 30.7
Manufacturing, 15560, 29.2, 79.5, 10.4, 6.9, 16.7
Durable goods manufacturing, 9831, 25.1, 80.3, 9.3, 7.5, 14.3
Nonmetallic mineral products manufacturing, 475, 19.6, 85.7, 8.1, 3.5, 21.9
Pottery: ceramics: and plumbing fixture manufacturing, 22, -, -, -, -, -
Clay building material and refractories manufacturing, 26, -, -, -, -, -
Glass and glass product manufacturing, 148, 23.8, 78.7, 13.5, 6.9, 18.3
Cement: concrete: lime: and gypsum product manufacturing, 181, 11.5, 91.0, 5.4, 0.5, 24.0
Miscellaneous nonmetallic mineral product manufacturing, 99, 19.5, 87.0, 5.2, 4.1, 24.6
Primary metals and fabricated metal products manufacturing, 1680, 17.2, 85.7, 7.9, 3.2, 15.5
Iron and steel mills and steel product manufacturing, 268, 11.8, 83.7, 10.8, 2.0, 12.2
Aluminum production and processing, 59, 29.3, 83.3, 13.1, 1.4, 14.8
Nonferrous metal: except aluminum: production and processing, 48, -, -, -, -, -
Foundries, 81, 18.2, 86.5, 5.8, 4.4, 13.4
Metal forgings and stampings, 60, 18.1, 83.8, 12.7, 1.3, 13.7
Cutlery and hand tool manufacturing, 41, -, -, -, -, -
Structural metals: and boiler: tank: and shipping container manufacturing, 358, 14.6, 85.2, 8.7, 2.4, 16.6
Machine shops; turned product; screw: nut: and bolt manufacturing, 295, 13.5, 91.6, 1.2, 5.3, 16.1
